,C_LAT,C_LONG,H_LAT,H_LONG
682,-12.059428,-77.130571,-12.060042,-77.128335
683,-11.974469,-76.999161,-11.970829,-76.995232
684,-11.993064,-77.015063,-11.993242,-77.010506
685,-12.004613,-77.016937,-12.004175,-77.006782
686,-12.153257,-76.86955299999998,-12.129321,-76.87154099999998
687,-12.114079,-76.873688,-12.129321,-76.87154099999998
688,-12.085214,-77.01887,-12.081379,-77.020143
689,-12.075561,-77.042748,-12.076413,-77.042617
690,-12.077476,-77.067628,-12.078274,-77.086809
691,-11.990526,-77.065954,-11.990534,-77.06601499999998
692,-11.988316,-77.067457,-11.983645,-77.062899
693,-11.926735,-77.07387699999998,-11.93308,-77.07333099999998
694,-11.925635,-77.073464,-11.93308,-77.07333099999998
695,-11.939661,-76.69843899999998,-11.93475,-76.703506
696,-12.003467,-77.109064,-12.001862,-77.10729999999998
697,-12.039122,-77.029156,-12.038127,-77.026314
698,-12.077881,-77.002554,-12.079766,-77.001779
699,-12.050634,-76.97796599999998,-12.043567,-76.97517
700,-12.056842,-77.007738,-12.056565,-77.01506999999998
701,-12.07253,-76.972086,-12.085025,-76.97716
702,-11.948413,-77.071214,-11.947192,-77.058935
703,-12.118737,-76.98782199999998,-12.115271,-76.995237
704,-12.124916,-76.9825,-12.130243,-76.981031
705,-12.036487,-77.029576,-12.031578,-77.03082899999998
706,-12.036877,-77.022817,-12.034377,-77.02450399999998
707,-12.163582,-77.020493,-12.162413,-77.01967899999998
708,-12.14713,-77.015403,-12.147,-77.015679
709,-12.092091,-77.047719,-12.094225,-77.045513
710,-12.068577,-77.123563,-12.072233,-77.12438199999998
711,-12.069499,-77.126873,-12.072233,-77.12438199999998
712,-12.07385,-77.11206199999998,-12.076485,-77.09573799999998
713,-12.072122,-77.11347399999998,-12.069576,-77.117976
714,-12.069697,-77.11622099999998,-12.069576,-77.117976
715,-12.072029,-77.08856199999998,-12.070574,-77.087435
716,-12.083025,-77.04209799999998,-12.077316,-77.04234099999998
717,-12.077088,-77.024861,-12.075441,-77.022943
718,-12.066467,-77.124683,-12.062943,-77.122928
719,-12.054939,-77.095308,-12.057644,-77.096642
720,-12.05209,-77.08832099999998,-12.054064,-77.087553
721,-12.093894,-77.059471,-12.09251,-77.05938999999998
722,-12.020376,-77.083495,-12.022506,-77.081158
723,-12.026002,-77.08462,-12.022506,-77.081158
724,-12.100851,-77.031808,-12.099329,-77.032466
725,-12.102066,-77.033091,-12.103441,-77.02994599999998
726,-12.106506,-77.030831,-12.106279,-77.030878
727,-12.109146,-77.011415,-12.108892,-77.01203499999998
728,-12.014387,-77.08553899999998,-12.01564,-77.097628
729,-12.143973,-76.986509,-12.14535,-76.98790599999998
730,-12.144113,-76.98547,-12.14535,-76.98790599999998
731,-12.138251,-76.989654,-12.138019,-76.984454
732,-12.150905,-76.970748,-12.15246,-76.97222999999998
733,-12.144478,-77.021011,-12.155444,-77.020797
734,-12.144583,-77.019681,-12.143315,-77.016289
735,-12.14908,-77.018799,-12.150547,-77.02035999999998
736,-12.072801,-77.032663,-12.072507,-77.038396
737,-12.07681,-77.031981,-12.079482,-77.032956
738,-12.076929,-77.035381,-12.076248,-77.035846
739,-12.077311,-77.035669,-12.076248,-77.035846
740,-12.390073,-76.776532,-12.38712,-76.776658
741,-12.390914,-76.77660299999998,-12.38712,-76.776658
742,-12.389157,-76.774939,-12.38712,-76.776658
743,-12.387966,-76.777634,-12.388303,-76.77828499999998
744,-12.360872,-76.79837899999998,-12.363686,-76.795906
745,-12.36688,-76.79387699999998,-12.363686,-76.795906
746,-12.367317,-76.794359,-12.363686,-76.795906
747,-12.038897,-76.931157,-12.0293,-76.926713
748,-12.040574,-76.928645,-12.0293,-76.926713
749,-12.036919,-76.93267,-12.029348,-76.935867
750,-12.042709,-76.933203,-12.029348,-76.935867
751,-12.18179,-76.925483,-12.211079,-76.931852
752,-12.087342,-77.075473,-12.087805,-77.072422
753,-12.08621,-77.07727199999998,-12.087805,-77.072422
754,-12.043944,-77.124587,-12.040875,-77.12230599999998
755,-12.082879,-77.03163999999998,-12.081969,-77.03184799999998
756,-12.096339,-77.053815,-12.098885,-77.05142999999998
757,-12.023588,-77.101472,-12.025037,-77.100943
758,-12.130536,-76.957789,-12.126864,-76.959383
759,-12.189217,-76.948397,-12.198331,-76.952506
760,-12.191424,-76.952231,-12.198331,-76.952506
761,-12.196434,-76.94708699999998,-12.198331,-76.952506
762,-12.049361,-77.01227299999998,-12.046023,-77.015573
763,-12.079826,-77.033198,-12.079482,-77.032956
764,-12.062751,-77.113533,-12.061774,-77.106525
765,-12.063036,-77.11499,-12.064124,-77.12131499999998
766,-12.052769,-77.1222,-12.053976,-77.123382
767,-12.059233,-77.113124,-12.061774,-77.106525
768,-12.060834,-77.106735,-12.061774,-77.106525
769,-12.058694,-77.09772499999998,-12.057644,-77.096642
770,-12.090688,-77.06954899999998,-12.08856,-77.068752
771,-12.024954,-76.913252,-12.027772,-76.92255199999998
772,-12.025666,-76.91448699999998,-12.027772,-76.92255199999998
773,-11.961877,-76.98265,-11.962779,-76.989248
774,-12.032595,-76.95677499999998,-12.032369,-76.962412
775,-12.024525,-76.978949,-12.032369,-76.962412
